Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
Calabash Caribbean Cuisine,108-2155 Leanne Blvd Mississauga ON L5K 2K8,Restaurant,2019-11-29,
Caledon Family Restaurant,16560 Hurontario St Caledon ON L7K 1W3,Restaurant,2020-03-11,
Caledon Hills Brewing,17219 Hwy 50 Caledon ON L7E 0K8,Restaurant,,
Caledon's Curry and Cocktail Fine Indian Cuisine,L5-18 King St E Bolton ON L7E 1E8,Restaurant,2019-09-10,
Cali Mexican Grill,109-148 West Dr Brampton ON L6T 5P1,Restaurant,2020-01-29,
California Sandwiches,3018 Winston Churchill Blvd Mississauga ON L5L 2V7,Restaurant,2019-11-21,
California Sandwiches,5950 Dixie Rd Mississauga ON L4W 1E9,Restaurant,2019-11-05,
California Sandwiches,1A-5955 Latimer Dr Mississauga ON L5V 0B7,Restaurant,2020-02-28,
California Thai,F1-25 Peel Centre Dr Brampton ON L6T 3R5,Restaurant,2020-01-30,
Calypso Garden,29-83 Kennedy Rd S Brampton ON L6W 3G1,Restaurant,2020-02-14,
Calypso Hut,263 Queen St E Brampton ON L6W 4K6,Restaurant,2020-01-21,
Canlan Sportsplex - Wild Wing,3360 Wolfedale Rd Mississauga ON L5C 1K7,Restaurant,2019-12-12,
Canyon Creek Chop House,299 Rathburn Rd W Mississauga ON L5B 4C1,Restaurant,2019-09-23,
Caplansky's Deli and Bar - Terminal 3,AT3 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Restaurant,2019-11-14,
Cappuccino Bakery,2-28 Queen St. N Bolton L7E 1B9,Restaurant,2020-02-18,
Capra's Kitchen,1A-1834 Lakeshore Rd W Mississauga ON L5J 1J7,Restaurant,2020-02-27,
Captain Robin's Family Restaurant,111 Lakeshore Rd W Mississauga ON L5H 1E9,Restaurant,2020-02-12,
"Captain's Boil, The",3A-720 Burnhamthorpe Rd W Mississauga ON L5C 3X3,Restaurant,2020-11-02,
Captains Snooker Club,10 & 11-966 Dundas St E Mississauga ON L4Y 4H5,Restaurant,2019-12-04,
Caravan Kabob House,6 & 7-5955 Latimer Dr Mississauga ON L5V 0B7,Restaurant,2019-09-27,
Caravan Kabob House,547 Steeles Ave Brampton ON L6W 4S2,Restaurant,2020-12-09,
Caribbean Flavor,1E-8920 Highway 50 Brampton ON L6P 3A3,Restaurant,2020-07-14,
Caribbean Heat Take Out Express,8A-180 Sandalwood Pky E Brampton ON L6Z 1Y4,Restaurant,2020-11-02,
Caribbean Jerk Pit,11-34 Avondale Blvd Brampton ON L6T 1H3,Restaurant,2020-02-25,
Caribbean Oasis,105-7125 Goreway Dr Mississauga ON L4T 4H3,Restaurant,2019-12-17,
Caribbean Sunset,8 - 9-1001 Meyerside Dr Mississauga ON L5T 1J6,Restaurant,2020-10-05,
Carinderia By DFlores,2-980 Eglinton Ave Mississauga ON L4W 1K3,Restaurant,2020-02-21,
Carve on Lot 5,15 Main St N Brampton ON L6X 1MB,Restaurant,2020-01-10,
Casa Da Malta,1-2-5171 Tomken Rd Mississauga ON L4W 1P1,Restaurant,2019-11-05,
Casa Europa Sports Bar,"9,10-51 McMurchy Ave S Brampton ON L6Y 1Y5",Restaurant,2019-11-08,
Casalinga Ristorante,2-3-2057 Royal Windsor Dr Mississauga ON L5J 1K5,Restaurant,2019-10-30,
Casamici Trattoria,20-1 Queensgate Blvd Caledon ON L7E 2X7,Restaurant,2019-07-23,
Caven's Alley Bar,585 Lakeshore Rd E Mississauga ON L5G 1H9,Restaurant,2019-11-25,
Central Billiards & Coffee Shop,2-128 Queen St S Mississauga ON L5M 1K8,Restaurant,2019-11-27,
Central Night Club,"1D, 2-3-35 Brunel Rd Mississauga ON L4Z 3E8",Restaurant,,
Cha Me Cha,9-4188 Living Arts Dr Mississauga ON L5B 0H7,Restaurant,2019-10-28,
Chaats n' Dosa,09-205 Van Kirk Dr Brampton ON,Restaurant,2019-10-29,
Champions Offside Sports Bar,13-15-25 Queen St N Mississauga ON L5N 1A3,Restaurant,2019-10-24,
Chang & Huang Thai Restaurant,7-5120 Dixie Rd Mississauga ON L4W 4J7,Restaurant,2019-09-23,
Chapli Kabob,6-40 Dundas St W Mississauga ON L5B 1H4,Restaurant,2019-11-07,
Charley's Philly Steaks,1-131B-100 City Centre Dr Mississauga ON L5B 2C9,Restaurant,2020-02-07,
Charlies Caribbean Cuisine,3055 Hurontario St Mississauga ON L5A 2G9,Restaurant,2020-09-21,
Charlotte's Homemade Goodies,5-315 Traders Blvd E Mississauga ON L4Z 2E5,Restaurant,2019-11-21,
Charminar Indian Cuisine,B2-5023 Spectrum Way Mississauga ON L4W 5N6,Restaurant,2020-07-10,
Chat Hut,40-7920 Hurontario Street Brampton ON L6Y 0P7,Restaurant,2020-07-30,
Chatpatta Chowk,A-7454 Airport Rd Mississauga ON L4T 2H5,Restaurant,2019-11-05,
Chawla's,24-7916 Hurontario St Brampton ON L6Y 0P6,Restaurant,2019-10-29,
Cheeks Homemade Burgers,18 King St E Caledon ON L7E 1E8,Restaurant,2019-07-23,
Chef Sanjeev Kapoor's Khazana,9121 Airport Rd Brampton ON L6S 0B8,Restaurant,2019-11-21,
Chef's Table,5800 Explorer Dr Mississauga ON L4W 5K8,Restaurant,2020-02-06,
Chelsea Restaurant,7 John St S Mississauga ON L5H 2E3,Restaurant,2019-09-11,
Chicago Pizza with a Twist,"36,37,38-2370 North Park Drive Brampton ON L6S 0E9",Restaurant,,
Chicken Ball Restaurant,11A-700 Balmoral Dr Brampton ON L6T 1X2,Restaurant,2020-02-03,
Chicken N Tings Caribbean Cuisine Inc,A & B-4025 Brandon Gate Dr Mississauga ON L4T 3Z9,Restaurant,2019-11-27,
Chicken Squared,21-3221 Derry Rd W Mississauga ON L5N 7L7,Restaurant,2020-02-10,
Chico Burrito,3-400 Steeles Ave E Brampton ON L6W 4T4,Restaurant,2019-12-03,
Chili Chi-Lee BBQ,100A-265 Enfield Pl Mississauga ON L5B 3Y7,Restaurant,2020-08-12,
Chilli Chicken House,108A-7700 Hurontario St Brampton ON L6Y 4M3,Restaurant,2019-12-12,
Chilli Chicken House,25-4040 Creditview Rd Mississauga ON L5C 4E3,Restaurant,2019-09-19,
Chimneyfresh,12-6980 Maritz Dr Mississauga ON L5M 1S3,Restaurant,2020-10-01,
China 8 Restaurant,110-5602 Tenth Line W Mississauga ON L5M 5S5,Restaurant,2020-11-06,
China China Palace 2,8A-1125 Bloor St Mississauga ON L4Y 2N6,Restaurant,2020-01-14,
China Garden Restaurant,4-3021 Argentia Rd Mississauga ON L5N 8P7,Restaurant,2020-02-14,
China Garden Restaurant,1-7071 Airport Rd Mississauga ON L4T 4J3,Restaurant,2020-02-27,
China Impression Restaurant,23-23A-1100 Burnhamthorpe Rd W Mississauga ON L5C 4G4,Restaurant,2020-03-02,
China Palace,3530 Derry Rd E Mississauga ON L4T 4E3,Restaurant,2020-02-20,
China Palace,20-60 Cottrelle Blvd Brampton ON L6S 0E1,Restaurant,2020-03-04,
China Palace,6-10061 McLaughlin Rd Brampton ON L7A 2X5,Restaurant,2020-02-13,
China Palace Restaurant,CRU-K4-80 Courtneypark Dr E Mississauga ON L5T 2Y3,Restaurant,2019-12-05,
Chinese Dumpling House,9-10-4040 Creditview Rd Mississauga ON L5C 3Y8,Restaurant,2019-11-12,
Chinguacousy Park - Curling Club,9050 Bramalea Rd Brampton ON L6Y 2N4,Restaurant,2020-02-19,
Chipotle Mexican Grill # 2719,B1-5089 Dixie Rd Mississauga ON L4W 1X7,Restaurant,2019-11-18,
Chi's Congee and Noodle,66-1177 Central Pky W Mississauga ON L5C 4P3,Restaurant,2019-12-03,
Chiuchow Man Restaurant,69-1177 Central Pky W Mississauga ON L5C 4P3,Restaurant,2020-02-18,
Chop Meadowvale Steakhouse & Bar,2001 Argentia Rd Mississauga ON L5N 2L3,Restaurant,2019-09-20,
Chopan Grill,107-2155 Leanne Blvd Mississauga ON L5K 2K8,Restaurant,2019-11-29,
Chopstick Cuisine,2875 Derry Rd E Mississauga ON L4T 1A6,Restaurant,2019-12-19,
Chorizo Fresh Mex,B4-950 Southdown Rd Mississauga ON L5J 2Y4,Restaurant,2020-01-15,
Chuck E Cheese's,2-4141 Dixie Rd Mississauga ON L4W 2V5,Restaurant,2020-01-02,
Chuck E Cheese's,2945 Argentia Rd Mississauga ON L5N 0A2,Restaurant,2019-09-17,
Chuck's Road House,2 Kennedy Rd S Brampton ON L6W 3E1,Restaurant,2019-08-23,
Chuck's Roadhouse,110-6465 Millcreek Dr Mississauga ON L5N 5R3,Restaurant,2019-11-25,
Chuck's Roadhouse,21-1 Steeles Ave Brampton ON L6W 4J4,Restaurant,2020-11-20,
Chuck's Roadhouse Bar & Grill,27-29-1151 Dundas St W Mississauga ON L5C 1C6,Restaurant,2019-10-16,
Chuck's Roadhouse Bar and Grill,1492 Dundas St E Mississauga ON L4Z 1L4,Restaurant,2020-11-16,
Chuck's Roadhouse Bolton,12598 Hwy 50 Caledon ON L7E 1T6,Restaurant,2020-09-15,
Church's Chicken,502-7700 Hurontario St Brampton ON L6Y 4M3,Restaurant,2019-11-21,
Church's Chicken,116-78 Quarry Edge Dr. Brampton Ontario L6V 4K2,Restaurant,2020-01-07,
Church's Texas Chicken,30B-227 Vodden St E Brampton ON L6V 4J4,Restaurant,2021-01-20,
Church's Texas Chicken,1-2-3355 Hurontario St Mississauga ON L5A 4E7,Restaurant,2020-07-30,
Cinnabon,630-499 Main St S Brampton ON L6Y 1N7,Restaurant,2019-10-21,
Cities Sports Bar & Grill,1-5835 Dixie Rd Mississauga ON L4W 4V7,Restaurant,2020-03-11,
City South Pizza,1-8875 George Bolton Pkwy Caledon ON L7E 4K2,Restaurant,2020-03-12,
City South Pizza,3-15 Brisdale Dr Brampton ON L7A 3G1,Restaurant,2021-01-11,
City South Pizza,105-A-7700 Hurontario St Brampton ON L6Y 4M3,Restaurant,2021-01-19,
CK'S Classique Restaurant & Bar,22-263 Queen St East Brampton ON L6W 4K6,Restaurant,2019-10-09,
Clancy's Sports Bar & Grill,20-456 Vodden St E Brampton ON L6V 1N5,Restaurant,2019-09-16,
Clarkson Fish & Chips,1848 Lakeshore Rd W Mississauga ON L5J 1J7,Restaurant,2019-10-29,
Clarkson Mediterranean Bistro,1731 Lakeshore Rd W Mississauga ON L5J 1J4,Restaurant,2019-09-19,
Classic Bowl,3055 Dundas St W Mississauga ON L5L 3R8,Restaurant,2020-03-05,
Classic Italian Aroma,12774 Hwy 50 Caledon ON L7E 4G1,Restaurant,2019-12-12,
Club Kaos,10-107 Kennedy Rd S Brampton ON L6W 3G3,Restaurant,2019-12-06,
Coco Cafe,204-90 Burnhamthorpe Rd W Mississauga ON L5B 3C3,Restaurant,2019-11-12,
Coco Fresh Tea & Juice,13B-2458 Dundas St W Mississauga ON L5K 1R8,Restaurant,2019-10-15,
Coco Fresh Tea and Juice,6-30 Eglinton Ave W Mississauga ON L5R 3E7,Restaurant,2019-10-30,
Coconut Breeze,4-168 Kennedy Rd S Brampton ON L6W 3G6,Restaurant,2020-02-05,
Coffee Bean Cafe Family Restaurant,15400 Hurontario St Caledon ON L7C 2C3,Restaurant,2019-11-19,
Coffee Culture,1220 Eglinton Ave W Mississauga ON L5V 1N3,Restaurant,2020-02-24,
Coffee Culture Cafe & Eatery,1-2 10525 Bramalea Rd Brampton ON L6R 3P4,Restaurant,2020-08-26,
Coffee Culture Cafe & Eatery,D1-501 Lakeshore Rd E Mississauga ON L5G 1H9,Restaurant,2019-11-08,
Coffee Time,1-15 Allan Dr Caledon ON L7E 2B4,Restaurant,2020-02-18,
Coffee Time Donuts,16-991 Matheson Blvd E Mississauga ON L4W 2V3,Restaurant,2020-03-09,
Colossus of Rhodes,280 Lakeshore Rd E Mississauga ON L5G 1H4,Restaurant,2019-12-06,
Comfort Inn,6355 Airport Rd Mississauga ON L4V 1E4,Restaurant,2019-10-16,
Comfort Inn,31 Topflight Dr Mississauga ON L5S 1Y1,Restaurant,2020-01-27,
Congee Queen,"17-1911 Dundas St. E. Mississauga, ON L4X 1M1",Restaurant,2020-09-04,
Congee Queen,5-800 Boyer Blvd. Mississauga ON L5V 2Y1,Restaurant,2020-02-05,
Cooper's Pub,5-780 Burnhamthorpe Rd W Mississauga ON L5C 3X3,Restaurant,2019-10-23,
Copper Branch,2-B-6055 Mavis Rd Mississauga ON L5R 4G6,Restaurant,2020-03-11,
Copper Branch,80-90 Burnhamthorpe Rd W Mississauga ON L5B 3K3,Restaurant,2020-03-16,
Copper Branch,B-40B Peel Centre Dr. Brampton ON L6T 5M2,Restaurant,2019-08-22,
Copper Branch Restaurant,3055 Argentia Rd Mississauga ON L5N 8E1,Restaurant,2020-09-22,
Cora Breakfast and Lunch,9-11-4559 Hurontario St Mississauga ON L4Z 3L9,Restaurant,2019-07-19,
Cora Breakfast and Lunch,1-M-9045 Airport Rd Brampton ON L6S 0B8,Restaurant,2020-02-19,
Cora's Breakfast,15-16-4120 Dixie Rd Mississauga ON L4W 4V8,Restaurant,2020-01-28,
Cora's Breakfast and Lunch,D3-6720 Meadowvale Town Centre Cir Mississauga ON L5N 4B7,Restaurant,2019-08-28,
Corner by Spoon and Fork,14B-1225 Dundas St E Mississauga ON L4Y 4C5,Restaurant,2019-10-15,
Corso - Terminal 3,AT3 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Restaurant,2020-02-27,
Country Fish & Chips,293 Lakeshore Rd E Mississauga ON L5G 1H3,Restaurant,2019-11-21,
Country Kitchen Roadhouse Restaurant,1-1520 Trinity Dr Mississauga ON L5T 1N9,Restaurant,2019-12-03,
Country Style Donuts,6035 McLaughlin Rd Mississauga ON L5R 1B9,Restaurant,2019-11-22,
Country Style Donuts,8155 Torbram Rd Brampton ON L6T 5C5,Restaurant,2019-11-01,
Country Style/Mr. Sub,362 Lakeshore Rd E Mississauga ON L5G 1H5,Restaurant,2020-02-21,
Courtyard by Marriott - The Bistro,5050 Creekbank Rd Mississauga ON L4W 5R2,Restaurant,2020-02-12,
Courtyard by Marriott - The Bistro,7015 Century Ave Mississauga ON L5N 7K2,Restaurant,2020-01-22,
Cozy Cafe & Deli,146-101 Queensway W Mississauga ON L5B 2P7,Restaurant,2019-10-25,
Crack me up,183A-499 Main St S Brampton ON L6Y 1N7,Restaurant,2020-11-04,
Credit Valley Hospital - Subway,2200 Eglinton Ave W Mississauga ON L5M 2N1,Restaurant,2020-02-27,
Croatia Restaurant,A-1989 Dundas St E Mississauga ON L4X 1M1,Restaurant,2019-11-14,
Crown & Anchor Pub,9-389 Main St N Brampton ON L6X 3P1,Restaurant,2019-11-12,
Cuchulainn's Irish Pub,158 Queen St S Mississauga ON L5M 1K8,Restaurant,2019-11-25,
Cuda's Tap & Grill,2-1107 Lorne Park Rd Mississauga ON L5H 3A1,Restaurant,2020-02-07,
Culinaria Restaurant,5732 Kennedy Rd Mississauga ON L4Z 3E1,Restaurant,2019-12-13,
Culinary Stars,6-116 Kennedy Rd S Brampton ON L6W 3E7,Restaurant,2020-12-15,
D Spot Dessert Cafe,4-5955 Latimer Dr Mississauga ON L5V 0B7,Restaurant,2020-12-10,
Daal Roti Indian Tadka House,1-6990 Financial Dr Mississauga ON L5N 8J4,Restaurant,2019-12-11,
Daal Roti Indian Tadka House,15-25 Watline Ave Mississauga ON L4Z 2Z1,Restaurant,2020-08-18,
Dabang Bistro,G103-85 Montpelier St Brampton ON L6Y 6H4,Restaurant,2020-01-09,
Dai Bi Chay,100-2399 Cawthra Rd Mississauga ON L5A 2W9,Restaurant,2019-10-16,
Dai Ichi Sushi,7-3105 Winston Churchill Blvd Mississauga ON L5L 5S2,Restaurant,2019-11-14,
Dairy Queen,13-2425 Truscott Dr Mississauga ON L5J 2B4,Restaurant,2020-03-04,
Dairy Queen,1-1965 Cottrelle Blvd Brampton ON L6T 2Z8,Restaurant,2020-02-05,
Dairy Queen,133 Queen St E Brampton ON L6W 2A9,Restaurant,2019-11-20,
Dairy Queen,1641 Lakeshore Rd W Mississauga ON L5J 1J4,Restaurant,2019-09-20,
Dairy Queen,5-1248 Dundas St E Mississauga ON L4Y 2C1,Restaurant,2020-01-31,
Dairy Queen,360 Queen St S Caledon ON L7E 4Z8,Restaurant,2019-07-12,
Dairy Queen,52-325 Central Pky W Mississauga ON L5B 3X9,Restaurant,2019-08-19,
Dairy Queen,1-8245 Financial Drive Brampton Ontario L6Y 1M1,Restaurant,2020-10-29,
Dairy Queen,1-90 Annagem Blvd Mississauga ON L5T 2Y3,Restaurant,2020-07-23,
Dairy Queen & Orange Julius,440A-25 Peel Centre Dr Brampton ON L6T 3R5,Restaurant,2019-10-30,
Dairy Queen/ Orange Julius,J2-10510 Torbram Rd Brampton ON L6R 0A3,Restaurant,2019-11-05,
Dairy Queen/Orange Julius,104-3029 Argentia Rd Mississauga ON L5N 8P7,Restaurant,2020-03-02,
Dairy Queen/Orange Julius,11240 Creditview Rd Brampton ON L7A 4X3,Restaurant,2020-09-29,
Dal Moro's Fresh Pasta,FM05-100 City Centre Dr Mississauga ON L5B 2C9,Restaurant,2020-11-06,
Dalchini Hakka Chinese Cuisine,10 & 11-1098 Peter Robertson Blvd Brampton ON L6R 3A5,Restaurant,2019-11-06,
Dav's Hotspot,22-1365 Mid-Way Blvd Mississauga ON L5T 2J5,Restaurant,2019-09-03,
DayBreak,4-14 Parr Blvd Bolton ON L7E 4H1,Restaurant,2019-12-19,
Daylight Grill,E8-980 Southdown Rd Mississauga ON L5J 2Y4,Restaurant,2020-01-16,
Days Inn Mississauga,4635 Tomken Rd Mississauga ON L4W 1J9,Restaurant,,
Dazi Lounge & Kitchen,17-2273 Dundas St W Mississauga ON L5K 2L8,Restaurant,2020-01-20,
Deccan Express,2-30 Rambler Dr Brampton ON L6W 1E2,Restaurant,2021-01-11,
DelightPho,6-45 Dusk Dr Brampton ON L6Y 0H7,Restaurant,2020-02-05,
Delimark Cafe,101-1290 Central Pky W Mississauga ON L5C 4R3,Restaurant,2019-10-22,
Delta Bingo,291 Rutherford Rd S Brampton ON L6W 3R5,Restaurant,2020-01-22,
Delta Mississauga - Driftwood,3670 Hurontario St Mississauga ON L5B 1P3,Restaurant,2019-11-28,
Demetres,N-5-90 Courtneypark Dr E Mississauga ON L5T 2Y3,Restaurant,2019-12-05,
Denny's,40 Courtneypark Dr E Mississauga ON L5T 2Y3,Restaurant,2019-10-23,
Denny's Restaurant,1-3-215 Delta Park Blvd Brampton ON L6T 0H9,Restaurant,2020-01-07,
Denny's Toronto SW,5400 Dixie Rd Mississauga ON L4W 4T4,Restaurant,2019-12-30,
Der Brot Korb,10-2458 Dundas St W Mississauga ON L5K 1R8,Restaurant,2019-09-20,
Derrydale Golf Club,185 Derry Rd W Mississauga ON L5W 1G3,Restaurant,2019-08-16,
Desi Bar & Grill,B3-925 Rathburn Rd E Mississauga ON L4W 4C3,Restaurant,2019-12-12,
Devil's Paint Brush Golf,17151 St Andrews Rd Caledon ON L7C 2S5,Restaurant,2019-08-19,
Devil's Pulpit Golf Club,3035 Escarpment Side Rd Caledon Village ON L7C 2G8,Restaurant,2020-03-04,
Dewan Cafe & Lounge,11-6355 Kennedy Rd Mississauga ON L5T 2L5,Restaurant,2019-10-24,
Dhaba Express,"7,8-380 Bovaird Dr E Brampton ON L6Z 2S8",Restaurant,2019-12-11,
Diamonds,1820 Dundas St E Mississauga ON L4X 1L8,Restaurant,2019-11-15,
Diana Pasticceria & Coffee,1-4910 Tomken Rd Mississauga ON L4W 1J8,Restaurant,2019-11-19,
Dicey Business,4-6905 Millcreek Dr Mississauga ON,Restaurant,2019-05-21,
Digiovanni Bakery Ltd,9185 Torbram Rd Brampton ON L6S 3L2,Restaurant,2019-10-22,
Ding Tea,G8-3024 Hurontario Str Mississauga ON L5B 4M4,Restaurant,2020-02-04,
"District Kitchen, The",FM09-100 City Centre Dr Mississauga ON,Restaurant,2019-12-13,
Divine Foods,3A-17 Queen St N Mississauga ON L5N 6A1,Restaurant,2019-10-16,
Dixie Sweets and Restaurant,630 Peter Robertson Blvd Brampton ON L6R 1T4,Restaurant,2020-02-20,
Doaba Sweets and Restaurant,11-9705 James Potter Rd Brampton ON L6X 3B9,Restaurant,2019-11-06,
Doaba Sweets And Restaurant,2-5390 Terry Fox Way Mississauga ON L5V 0A5,Restaurant,2020-02-03,
Doaba Sweets and Snacks,9-305 Charolais Blvd Brampton ON L6Y 2R2,Restaurant,2020-02-24,
Dolce Family Restaurant,18371 Hurontario St Caledon ON L7K 0X7,Restaurant,2019-11-14,
Domics' GG! Gaming Cafe,B1-5955 Latimer Dr Mississauga ON L5V 0B7,Restaurant,2019-09-05,
Domino's,8-301 Queen St S Bolton ON L7E 2B2,Restaurant,2020-01-27,
Domino's Pizza,23-1684 Lakeshore Road W Mississauga ON L5J 1J4,Restaurant,2019-09-10,
Don's Caribbean Jerk,17-3078 Mayfield Rd Brampton ON L6Z 0E3,Restaurant,2020-01-21,
Doolins Pub & Restaurant,8-1575 Clarkson Rd N Mississauga ON L5J 2X1,Restaurant,2020-09-11,
Door Fiftyfive,55 Lakeshore Rd E Mississauga ON L5G 1C9,Restaurant,2019-12-09,
Double Double Pizza & Chicken,55-3085 Hurontario St Mississauga ON L5A 4G3,Restaurant,2020-10-15,
Double Tree - Kitchen,5444 Dixie Rd Mississauga ON L4W 2L2,Restaurant,2020-02-10,
Dragon Palace Chinese Restaurant,1850 Dundas St E Mississauga ON L4X 1L9,Restaurant,2020-03-09,
Dreamz Clock N Hen,35-71 West Dr Brampton ON L6T 2J6,Restaurant,2020-02-12,
Drupatis Roti Place,B10A-10671 Chinguocousy Rd Brampton ON,Restaurant,2019-11-08,
Druxy's,102-5580 Explorer Dr Mississauga ON L4W 4Y1,Restaurant,2020-02-18,
Druxy's,G2-15 Bronte College Crt Mississauga ON L5B 0E7,Restaurant,2019-11-21,
Dspot Dessert Cafe,6-5165 Dixie Rd Mississauga ON L4W 4G1,Restaurant,2020-03-05,
Dum Dum's Sports Bar,67 George St S Brampton ON L6Y 1P4,Restaurant,2019-09-25,
Earl's Restaurant,1-101-100 City Centre Dr Mississauga ON L5B 2C9,Restaurant,2020-03-03,
East Side Mario's,5855 Rodeo Dr Mississauga ON L5R 3Z2,Restaurant,2020-08-18,
East Side Mario's,1488 Dundas St E Mississauga ON L4X 1L4,Restaurant,2020-03-12,
East Side Mario's,130 Great Lakes Dr Brampton ON L6R 2K7,Restaurant,2019-09-30,
East Tea Can Restaurant,6-3115 Winston Churchill Blvd Mississauga ON L5L 2W1,Restaurant,2019-11-07,
Eddie's Wok N' Roll,6-6400 Millcreek Dr Mississauga ON L5N 7L4,Restaurant,2020-12-24,
Edo Japan,2A-6055 Mavis Rd Mississauga ON L5R 4G6,Restaurant,2020-03-10,
Eggsmart,C100-1930 Fowler Dr Mississauga ON L5K 0A1,Restaurant,2020-01-14,
Eggsmart,D2-925 Rathburn Rd E Mississauga ON L4W 4C3,Restaurant,2020-02-13,
Eggsmart,2-345 Queen St W Brampton ON L6Y 3A9,Restaurant,2020-02-19,
Eggsmart,103-5170 Dixie Rd Mississauga ON L4W 1E3,Restaurant,2020-03-13,
Eggsmart,655 Queensway E Mississauga ON L5A 3X6,Restaurant,2020-03-04,
Eggsmart,A7-6795 Airport Rd Mississauga ON L4V 1B6,Restaurant,2019-10-18,
Eggsmart,100-164 Sandalwood Pky E Brampton ON L6Z 3S4,Restaurant,2019-10-03,
El Fishawy Club,4-5055 Plantation Pl Mississauga ON L5M 6J3,Restaurant,2019-12-09,
El Jefe,D-66 Lakeshore Rd E Mississauga ON L5G 1E1,Restaurant,2020-07-20,
El Sombrero,A1-35 Brunel Rd Mississauga ON L4Z 3E8,Restaurant,2019-11-13,
El Sombrero - Fine Mexican Food,6GA-6990 Financial Dr Mississauga ON L5N 8J4,Restaurant,2019-09-18,
Ellen's Bar & Grill,41-190 Bovaird Dr W Brampton ON L7A 1A2,Restaurant,2020-09-04,
Ellen's Place,8-833 Westlock Rd Mississauga ON L5C 1K7,Restaurant,2020-01-16,
Elsa Lutong Bahay,65 Rutherford Rd S Brampton ON L6W 3J3,Restaurant,2020-01-15,
Emerald Chinese Restaurant,1-30 Eglinton Ave W Mississauga ON L5R 3E7,Restaurant,2019-10-25,
Empire Wok,D4-970 Southdown Rd Mississauga ON L5J 2Y4,Restaurant,2021-02-09,
En Sushi,7694 Hurontario St Brampton ON L6Y 5B5,Restaurant,2019-12-17,
Endzone Sports Bar & Grill,A-1&2-10886 Hurontario St Brampton ON L7A 3R9,Restaurant,,
Entice Ultra Club,1-6-1325 Eglinton Ave Mississauga ON L4W 4L9,Restaurant,2019-12-06,
Esso - Tim Hortons,10606 Heart Lake Rd Brampton ON L6T 3S1,Restaurant,2020-02-18,
Eva's Original Chimneys,53 Lakeshore Rd E Mississauga ON L5G 1C9,Restaurant,2019-07-19,
EXALTA,238 Queen St E Brampton ON L6V 1B9,Restaurant,2019-08-27,
Extreme Pita,7-6990 Financial Dr Mississauga ON L5N 8J4,Restaurant,2019-11-26,
"Extreme Pita, The",8-6045 Mavis Rd Mississauga ON L5R 4G6,Restaurant,2020-03-13,
Failte Irish Pub,109-201 City Centre Dr Mississauga ON L5B 2T4,Restaurant,2020-03-16,
Fairfield Inn & Suites - Breakfast Room,150 Westcreek Blvd Brampton ON L6T 5V7,Restaurant,2020-02-20,
Fairfield Inn & Suites by Marriott Toronto Airport - Restaurant,3299 Caroga Dr Mississauga ON L4V 1A3,Restaurant,2019-10-30,
Fairfield Inn and Suites - Kitchen,35 Courtneypark Dr W Mississauga ON L5W 0E3,Restaurant,2019-07-10,
"Fan ""D"" Flame Restaurant",3-30 Gillingham Dr Brampton ON L6X 4X7,Restaurant,2019-10-15,
Fancy Kafana,3-4910 Tomken Rd Mississauga ON L4W 1J8,Restaurant,2019-11-26,
Fantastic Snacks,6-1250 South Service Rd Mississauga ON L5E 1V4,Restaurant,2019-11-29,
Fanzorelli's Restaurant & Lounge,50 Queen St W Brampton ON L6X 4H3,Restaurant,2019-08-09,
Farmers Meat Shop and Mister Chai,13-239 Queen St E Brampton ON L6W 2B4,Restaurant,,
Fat Bastard Burrito,545 Steeles Ave W Brampton ON L6Y 4E7,Restaurant,2020-03-11,
Fat Bastard Burrito,2-30 Eglinton Ave W Mississauga ON L5R 3E7,Restaurant,2020-10-05,
Fat Bastard Burrito Co.,116-10 Gillingham Dr Brampton ON L6X 5A5,Restaurant,2020-01-09,
Fat Bastard Burrito Co.,8B-4141 Dixie Rd Mississauga ON L4W 1V5,Restaurant,2020-01-28,
Fat Bastard Burritos,9-215 Delta Park Blvd Brampton ON L6G 0H9,Restaurant,2019-10-30,
Fatteh & Snobar Restaurant,2-4665 Crentral Pkwy E Mississauga ON L4Z 2V5,Restaurant,2020-02-27,
Fattoush Mediterranean Grill,2-17 Ray Lawson Blvd Brampton ON L6Y 5L8,Restaurant,2020-08-26,
Federick Chinese Restaurant Inc,112-2515 Hurontario St Mississauga ON L5A 4C8,Restaurant,2020-03-09,
Feng Wok N Roll,4-28 Dundas St E Mississauga ON L5A 1W2,Restaurant,2019-10-29,
Fetta Panini Bar - Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Restaurant,2020-03-10,
Fifth Avenue Eatery and Coffee House,103-2233 Argentia Rd Mississauga ON L5N 2X7,Restaurant,2019-09-19,
Fifth Avenue Eatery and Coffee House,101-1 City Centre Dr Mississauga ON L5B 1M2,Restaurant,2020-02-03,
Filmy Tadka,34-50 Maritime Ontario Blvd Brampton ON L6S 0C2,Restaurant,2020-02-04,
Fine Taste,15-2 Kennedy Rd S Brampton ON L6W3E1,Restaurant,2020-05-29,
